,Data,Close,High,Low,Open,Volume
0,1986-08-20,0.202,0.213,0.202,0.0,684800
1,1986-08-21,0.209,0.22,0.209,0.0,883200
2,1986-08-22,0.209,0.216,0.209,0.0,1734400
3,1986-08-25,0.202,0.209,0.202,0.0,627200
4,1986-08-26,0.202,0.209,0.202,0.0,793600
5,1986-08-27,0.202,0.205,0.202,0.0,2540800
6,1986-08-28,0.194,0.205,0.194,0.0,1555200
7,1986-08-29,0.194,0.205,0.194,0.0,1548800
8,1986-09-02,0.209,0.216,0.209,0.0,1068800
9,1986-09-03,0.209,0.22,0.209,0.0,403200
10,1986-09-04,0.235,0.242,0.235,0.0,1804800
11,1986-09-05,0.231,0.242,0.231,0.0,2137600
12,1986-09-08,0.227,0.238,0.227,0.0,492800
13,1986-09-09,0.235,0.246,0.235,0.0,499200
14,1986-09-10,0.246,0.257,0.246,0.0,934400
15,1986-09-11,0.216,0.227,0.216,0.0,1798400
16,1986-09-12,0.22,0.227,0.22,0.0,1286400
17,1986-09-15,0.242,0.253,0.242,0.0,998400
18,1986-09-16,0.253,0.264,0.253,0.0,1254400
19,1986-09-17,0.271,0.279,0.271,0.0,1356800
20,1986-09-18,0.271,0.282,0.271,0.0,352000
21,1986-09-19,0.271,0.282,0.271,0.0,1024000
22,1986-09-22,0.26,0.271,0.26,0.0,780800
23,1986-09-23,0.253,0.264,0.253,0.0,1798400
24,1986-09-24,0.257,0.268,0.257,0.0,1312000
25,1986-09-25,0.249,0.264,0.249,0.0,1657600
26,1986-09-26,0.249,0.26,0.249,0.0,768000
27,1986-09-29,0.253,0.26,0.253,0.0,473600
28,1986-09-30,0.253,0.268,0.253,0.0,192000
29,1986-10-01,0.253,0.268,0.253,0.0,371200
30,1986-10-02,0.253,0.268,0.253,0.0,224000
31,1986-10-03,0.253,0.264,0.253,0.0,44800
32,1986-10-06,0.257,0.268,0.257,0.0,128000
33,1986-10-07,0.257,0.268,0.257,0.0,198400
34,1986-10-08,0.257,0.268,0.257,0.0,204800
35,1986-10-09,0.257,0.268,0.257,0.0,793600
36,1986-10-10,0.257,0.268,0.257,0.0,224000
37,1986-10-13,0.26,0.268,0.26,0.0,454400
38,1986-10-14,0.26,0.271,0.26,0.0,480000
39,1986-10-15,0.26,0.271,0.26,0.0,352000
40,1986-10-16,0.26,0.271,0.26,0.0,352000
41,1986-10-17,0.26,0.271,0.26,0.0,83200
42,1986-10-20,0.26,0.271,0.26,0.0,44800
43,1986-10-21,0.268,0.275,0.268,0.0,326400
44,1986-10-22,0.271,0.279,0.271,0.0,1100800
45,1986-10-23,0.275,0.282,0.275,0.0,742400
46,1986-10-24,0.297,0.304,0.297,0.0,1651200
47,1986-10-27,0.301,0.308,0.301,0.0,729600
48,1986-10-28,0.301,0.308,0.301,0.0,1804800
49,1986-10-29,0.33,0.337,0.33,0.0,11667200
50,1986-10-30,0.348,0.352,0.348,0.0,2150400
51,1986-10-31,0.343,0.348,0.343,0.0,1990400
52,1986-11-03,0.33,0.341,0.33,0.0,1388800
53,1986-11-04,0.323,0.33,0.323,0.0,2003200
54,1986-11-05,0.319,0.33,0.319,0.0,1094400
55,1986-11-06,0.326,0.334,0.326,0.0,2329600
